Height,Weight,Diameter,Length
0.135,0.677,0.42,0.53
0.15,0.7775,0.415,0.53
0.125,0.768,0.425,0.545
0.15,0.8945,0.44,0.55
0.14,0.6065,0.38,0.525
0.145,0.6845,0.405,0.535
0.1,0.4755,0.355,0.47
0.1,0.451,0.34,0.44
0.155,0.9395,0.44,0.565
0.135,0.7635,0.415,0.55
0.165,1.1615,0.48,0.615
0.14,0.9285,0.44,0.56
0.185,0.9955,0.45,0.58
0.165,1.639,0.56,0.68
0.175,1.798,0.55,0.68
0.2,1.7095,0.55,0.705
0.155,1.217,0.475,0.54
0.105,0.5225,0.355,0.45
0.135,0.883,0.445,0.575
0.105,0.425,0.335,0.45
0.135,0.8515,0.425,0.55
0.12,0.4605,0.375,0.46
0.16,0.8355,0.425,0.525
0.12,0.4775,0.36,0.47
0.14,0.6615,0.4,0.5
0.125,0.583,0.4,0.505
0.13,0.6965,0.41,0.53
0.16,0.915,0.44,0.565
0.185,1.285,0.495,0.595
0.12,0.5305,0.39,0.475
0.11,0.353,0.32,0.4
0.17,1.247,0.475,0.595
0.195,1.098,0.45,0.605
0.15,1.0075,0.475,0.6
0.15,0.922,0.47,0.6
0.14,0.788,0.425,0.555
0.17,1.1025,0.475,0.615
0.14,0.941,0.445,0.575
0.165,0.9885,0.425,0.52
0.18,1.295,0.465,0.57
0.13,0.517,0.355,0.46
0.16,0.9775,0.45,0.575
0.165,1.262,0.495,0.625
0.125,0.5785,0.375,0.475
0.155,0.727,0.41,0.52
0.165,0.802,0.43,0.545
0.125,0.6675,0.4,0.5
0.135,0.6335,0.39,0.51
0.105,0.3635,0.395,0.435
0.125,0.6935,0.41,0.545
0.115,0.5915,0.415,0.53
0.135,0.6125,0.375,0.49
0.15,0.8825,0.43,0.56
0.105,0.4205,0.365,0.47
0.14,0.766,0.425,0.515
0.125,0.4035,0.35,0.44
0.09,0.1915,0.26,0.325
0.115,0.406,0.33,0.425
0.08,0.156,0.23,0.305
0.11,0.3555,0.325,0.405
0.155,0.826,0.445,0.565
0.145,0.741,0.45,0.55
0.125,0.549,0.38,0.49
0.185,1.1185,0.5,0.605
0.19,1.3715,0.515,0.635
0.16,1.0565,0.485,0.605
0.135,0.9885,0.45,0.565
0.19,0.994,0.46,0.575
